Personality_Type,Age,GPA,Grad_Year,Merit_Scholarship_Percent,Overall_USC_Exp,I/E,F/T
ESTJ-T,21,3.98,2025,50.0,3,E,T
INFJ-A,22,3.88,2024,75.0,4,I,F
ENTP-A,21,3.5,2025,75.0,5,E,F
ENFJ-T,21,3.63,2024,100.0,5,E,T
INFJ-A,22,3.96,2024,100.0,5,I,F
ESTP-T,19,3.02,2027,100.0,3,E,T
ENTJ-A,23,3.54,2024,75.0,5,E,F
ESFJ-A,22,3.89,2024,50.0,5,E,F
ISTP-T,21,3.93,2024,50.0,3,I,T
ENTJ-T,21,3.8,2024,50.0,4,E,T
ISTJ-T,21,3.74,2025,75.0,4,I,T
ESTJ-A,21,3.9,2024,100.0,4,E,F
ESTJ-A,22,3.63,2024,100.0,5,E,F
ENTP-T,21,3.6,2024,50.0,4,E,T
ISTJ-A,21,3.94,2025,50.0,4,I,F
ISFJ-T,20,3.975,2025,50.0,4,I,T
INTP-A,21,3.33,2024,50.0,3,I,F
ENTP-A,22,3.72,2024,50.0,4,E,F
ENTP-T,21,3.99,2024,75.0,4,E,T
ESFJ-T,22,3.7,2024,50.0,3,E,T
ISFJ-T,20,3.4,2025,50.0,4,I,T
INFP-A,20,3.9,2025,50.0,5,I,F
ESTJ-T,20,3.91,2024,75.0,5,E,T
ISTJ-A,21,3.65,2025,75.0,4,I,F
ENFJ-A,21,3.3,2024,50.0,5,E,F
ISFJ-T,21,3.7,2024,75.0,3,I,T
ENFJ-T,21,3.8,2024,50.0,5,E,T
INTP-A,20,3.77,2025,75.0,4,I,F
ENFP-T,24,3.9,2024,50.0,5,E,T
INFJ-T,22,3.92,2024,50.0,4,I,T
INFJ-A,22,3.1,2024,100.0,4,I,F
